,volume,open,high,low,close,caldt
121,46845,558.46,558.55,558.22,558.27,2024-07-17 11:31:00-04:00
122,48592,558.27,558.4,558.19,558.37,2024-07-17 11:32:00-04:00
123,38618,558.4,558.47,558.27,558.35,2024-07-17 11:33:00-04:00
124,75877,558.36,558.67,558.3,558.4763,2024-07-17 11:34:00-04:00
125,35261,558.4603,558.47,558.34,558.45,2024-07-17 11:35:00-04:00
126,36160,558.47,558.56,558.31,558.32,2024-07-17 11:36:00-04:00
127,57579,558.32,558.44,558.29,558.33,2024-07-17 11:37:00-04:00
128,28841,558.32,558.377,558.23,558.3,2024-07-17 11:38:00-04:00
129,50240,558.28,558.54,558.27,558.4887,2024-07-17 11:39:00-04:00
130,44641,558.49,558.595,558.27,558.33,2024-07-17 11:40:00-04:00
131,44154,558.32,558.44,558.23,558.25,2024-07-17 11:41:00-04:00
132,330041,558.23,558.32,557.9505,558.07,2024-07-17 11:42:00-04:00
133,47338,558.04,558.325,558.0367,558.09,2024-07-17 11:43:00-04:00
134,92016,558.07,558.315,558.0692,558.255,2024-07-17 11:44:00-04:00
135,120149,558.24,558.34,558.1,558.15,2024-07-17 11:45:00-04:00
136,28111,558.15,558.26,558.07,558.1,2024-07-17 11:46:00-04:00
137,24207,558.11,558.27,558.11,558.14,2024-07-17 11:47:00-04:00
138,28800,558.17,558.27,558.06,558.15,2024-07-17 11:48:00-04:00
139,33946,558.14,558.23,558.05,558.11,2024-07-17 11:49:00-04:00
140,61527,558.13,558.15,557.83,557.83,2024-07-17 11:50:00-04:00
141,108780,557.83,558.03,557.79,558.0,2024-07-17 11:51:00-04:00
142,55764,558.01,558.03,557.86,557.8799,2024-07-17 11:52:00-04:00
143,126923,557.89,558.03,557.89,557.98,2024-07-17 11:53:00-04:00
144,51245,558.0,558.19,557.92,558.14,2024-07-17 11:54:00-04:00
145,83783,558.17,558.29,558.08,558.2,2024-07-17 11:55:00-04:00
146,189695,558.25,558.4597,558.21,558.37,2024-07-17 11:56:00-04:00
147,41612,558.3697,558.3697,558.13,558.14,2024-07-17 11:57:00-04:00
148,23901,558.13,558.2,558.12,558.165,2024-07-17 11:58:00-04:00
