,volume,open,high,low,close,caldt
162,86569,562.85,562.93,562.65,562.73,2024-07-15 12:12:00-04:00
163,131264,562.74,563.01,562.69,562.855,2024-07-15 12:13:00-04:00
164,73583,562.84,562.93,562.715,562.715,2024-07-15 12:14:00-04:00
165,133889,562.71,562.71,562.42,562.58,2024-07-15 12:15:00-04:00
166,128232,562.62,562.65,562.48,562.61,2024-07-15 12:16:00-04:00
167,54381,562.59,562.76,562.535,562.735,2024-07-15 12:17:00-04:00
168,47679,562.73,562.73,562.44,562.51,2024-07-15 12:18:00-04:00
169,41840,562.52,562.53,562.3605,562.44,2024-07-15 12:19:00-04:00
170,66265,562.46,562.46,562.14,562.32,2024-07-15 12:20:00-04:00
171,62399,562.33,562.57,562.25,562.44,2024-07-15 12:21:00-04:00
172,58123,562.45,562.7297,562.435,562.695,2024-07-15 12:22:00-04:00
173,165191,562.7,562.97,562.655,562.9,2024-07-15 12:23:00-04:00
174,48003,562.91,563.01,562.84,562.95,2024-07-15 12:24:00-04:00
175,30913,562.95,562.955,562.66,562.7199,2024-07-15 12:25:00-04:00
176,34590,562.73,562.89,562.7,562.88,2024-07-15 12:26:00-04:00
177,63322,562.875,563.05,562.87,562.97,2024-07-15 12:27:00-04:00
178,23723,562.98,562.98,562.78,562.82,2024-07-15 12:28:00-04:00
179,24520,562.84,562.89,562.78,562.89,2024-07-15 12:29:00-04:00
180,38346,562.88,562.88,562.73,562.7509,2024-07-15 12:30:00-04:00
181,38773,562.75,562.75,562.52,562.55,2024-07-15 12:31:00-04:00
182,14595,562.555,562.6939,562.54,562.65,2024-07-15 12:32:00-04:00
183,28329,562.68,562.7228,562.6,562.7228,2024-07-15 12:33:00-04:00
184,15461,562.72,562.72,562.58,562.6345,2024-07-15 12:34:00-04:00
185,32222,562.64,562.76,562.64,562.72,2024-07-15 12:35:00-04:00
186,41007,562.73,562.84,562.71,562.73,2024-07-15 12:36:00-04:00
187,23993,562.76,562.835,562.53,562.835,2024-07-15 12:37:00-04:00
188,26644,562.84,562.85,562.65,562.66,2024-07-15 12:38:00-04:00
189,13445,562.65,562.75,562.645,562.695,2024-07-15 12:39:00-04:00
190,24759,562.67,562.67,562.485,562.54,2024-07-15 12:40:00-04:00
191,115755,562.52,562.97,562.45,562.8699,2024-07-15 12:41:00-04:00
192,118326,562.89,563.18,562.8,562.81,2024-07-15 12:42:00-04:00
193,106717,562.8046,562.8046,562.47,562.58,2024-07-15 12:43:00-04:00
194,41442,562.59,562.79,562.59,562.6101,2024-07-15 12:44:00-04:00
195,114934,562.64,562.7,562.27,562.39,2024-07-15 12:45:00-04:00
196,44290,562.4298,562.435,562.25,562.31,2024-07-15 12:46:00-04:00
197,29275,562.32,562.44,562.27,562.335,2024-07-15 12:47:00-04:00
198,24342,562.33,562.37,562.2887,562.35,2024-07-15 12:48:00-04:00
199,46334,562.33,562.48,562.33,562.4499,2024-07-15 12:49:00-04:00
200,29536,562.43,562.505,562.34,562.39,2024-07-15 12:50:00-04:00
201,27856,562.4,562.48,562.345,562.41,2024-07-15 12:51:00-04:00
202,56073,562.38,562.3999,562.23,562.37,2024-07-15 12:52:00-04:00
203,25125,562.38,562.4,562.29,562.385,2024-07-15 12:53:00-04:00
204,31824,562.38,562.385,562.3,562.385,2024-07-15 12:54:00-04:00
205,25375,562.38,562.455,562.35,562.365,2024-07-15 12:55:00-04:00
206,44892,562.39,562.68,562.39,562.64,2024-07-15 12:56:00-04:00
207,35075,562.64,562.8,562.64,562.8,2024-07-15 12:57:00-04:00
208,35684,562.78,562.82,562.6001,562.61,2024-07-15 12:58:00-04:00
209,33773,562.615,562.615,562.44,562.57,2024-07-15 12:59:00-04:00
210,88861,562.56,562.58,561.89,561.961,2024-07-15 13:00:00-04:00
211,237709,561.935,562.02,561.54,561.71,2024-07-15 13:01:00-04:00
212,61996,561.7,562.0,561.7,561.84,2024-07-15 13:02:00-04:00
213,123402,561.84,561.8799,561.36,561.42,2024-07-15 13:03:00-04:00
214,84045,561.42,561.86,561.42,561.78,2024-07-15 13:04:00-04:00
